,Years,Data,size,articles
0,2012-04,2012,1,Futuristic cars are coming faster than you think
1,2012-04,2015,1,Futuristic cars are coming faster than you think
2,2012-05,2009,1,The first chemical circuit developed
3,2012-11,2001,1,Cambridge to study technology's risk to humans
4,2012-11,2012,2,UCLA's new transparent solar film could be game-changer<br>Cambridge to study technology's risk to humans
5,2012-11,2013,1,Cambridge to study technology's risk to humans
6,2012-12,2012,1,Breakthrough in augmented reality contact lens: Curved LCD display holds widespread potential
7,2013-01,1990,1,Web inventor says governments stifling net freedom (Update)
8,2013-01,2012,1,Web inventor says governments stifling net freedom (Update)
9,2013-01,2013,3,New qubit control bodes well for future of quantum computing<br>Web inventor says governments stifling net freedom (Update)<br>Physicists create new 3D microchip
10,2013-02,1950,1,Future science: Using 3D worlds to visualize data
11,2013-02,2013,1,Future science: Using 3D worlds to visualize data
12,2013-03,2010,1,Researchers build fully mechanical phonon laser
13,2013-03,2012,1,3D-printer with nano-precision
14,2013-03,2013,1,'Cheetah' robot rivals running animals in efficiency (w/ video)
15,2013-04,1950,1,A model predicts that the world's populations will stop growing in 2050
16,2013-04,1992,1,A model predicts that the world's populations will stop growing in 2050
17,2013-04,2010,3,A model predicts that the world's populations will stop growing in 2050<br>Skinput turns your arm into a touchscreen (w/ Video)<br>US army seeks new technology to replace GPS
18,2013-04,2013,3,Rocket powered by nuclear fusion could send humans to Mars<br>Researchers use Moore's Law to calculate that life began before Earth existed<br>US army seeks new technology to replace GPS
19,2013-04,2050,1,A model predicts that the world's populations will stop growing in 2050
20,2013-04,2100,1,A model predicts that the world's populations will stop growing in 2050
21,2013-05,2013,2,Scientists develop CO2 sequestration technique that produces 'supergreen' hydrogen fuel<br>Researchers turn cement into metal
22,2013-06,627,1,Solar plane lands in US Midwest after 21 hour flight (Update)
23,2013-06,906,1,Solar plane lands in US Midwest after 21 hour flight (Update)
24,2013-06,2011,1,Surprising turns in magnetic thin films could lead to better data storage
25,2013-06,2012,1,World's most powerful microscope ready for research
26,2013-06,2013,2,Solar plane lands in US Midwest after 21 hour flight (Update)<br>Automated 'coach' could help with social interactions (w/ Video)
27,2013-06,2015,1,Solar plane lands in US Midwest after 21 hour flight (Update)
28,2013-07,1920,1,Will robots take over the world?
29,2013-07,2008,1,"Nanoparticles with protein 'passports' evade immune system, deliver more medication to tumors"
30,2013-07,2012,2,Champion nano-rust for producing solar hydrogen<br>Google-owned Motorola Mobility on job hunt for wearables director
31,2013-07,2013,5,"Champion nano-rust for producing solar hydrogen<br>5D optical memory in glass could record the last evidence of civilization<br>Interplanetary precision laser could reach to Mars and beyond<br>Nanoparticles with protein 'passports' evade immune system, deliver more medication to tumors<br>Google-owned Motorola Mobility on job hunt for wearables director"
32,2013-08,1919,1,The world according to Itskov: Futurists convene at GF2045 (Part 1)
33,2013-08,1931,1,The world according to Itskov: Futurists convene at GF2045 (Part 1)
34,2013-08,1962,1,The world according to Itskov: Futurists convene at GF2045 (Part 1)
35,2013-08,1973,1,The world according to Itskov: Futurists convene at GF2045 (Part 1)
36,2013-08,2000,1,The world according to Itskov: Futurists convene at GF2045 (Part 1)
37,2013-08,2006,1,The world according to Itskov: Futurists convene at GF2045 (Part 1)
38,2013-08,2009,2,The world according to Itskov: Futurists convene at GF2045 (Part 1)<br>New research suggests perovskite as cheaper replacement for silicon-based solar panels
39,2013-08,2010,2,The world according to Itskov: Futurists convene at GF2045 (Part 1)<br>Robot does standup for London audience (w/ Video)
