,group,variable,value
0,2012-04,2012,1
1,2012-04,2015,1
2,2012-05,2009,1
3,2012-11,2001,1
4,2012-11,2012,2
5,2012-11,2013,1
6,2012-12,2012,1
7,2013-01,1990,1
8,2013-01,2012,1
9,2013-01,2013,3
10,2013-02,1950,1
11,2013-02,2013,1
12,2013-03,2010,1
13,2013-03,2012,1
14,2013-03,2013,1
15,2013-04,1950,1
16,2013-04,1992,1
17,2013-04,2010,3
18,2013-04,2013,3
19,2013-04,2050,1
20,2013-04,2100,1
21,2013-05,2013,2
22,2013-06,627,1
23,2013-06,906,1
24,2013-06,2011,1
25,2013-06,2012,1
26,2013-06,2013,2
27,2013-06,2015,1
28,2013-07,1920,1
29,2013-07,2008,1
30,2013-07,2012,2
31,2013-07,2013,5
32,2013-08,1919,1
33,2013-08,1931,1
34,2013-08,1962,1
35,2013-08,1973,1
36,2013-08,2000,1
37,2013-08,2006,1
38,2013-08,2009,2
39,2013-08,2010,2
40,2013-08,2011,3
41,2013-08,2012,1
42,2013-08,2013,5
43,2013-08,2014,1
44,2013-08,2045,1
45,2013-09,1925,1
46,2013-09,1961,1
47,2013-09,1963,1
48,2013-09,1965,1
49,2013-09,1998,1
50,2013-09,2006,1
51,2013-09,2010,1
52,2013-09,2011,2
53,2013-09,2012,2
54,2013-09,2013,7
55,2013-09,2014,2
56,2013-09,2018,1
57,2013-09,2020,1
58,2013-10,1901,1
59,2013-10,1905,1
60,2013-10,1923,1
61,2013-10,1933,1
62,2013-10,1934,1
63,2013-10,2000,1
64,2013-10,2003,1
65,2013-10,2006,1
66,2013-10,2007,2
67,2013-10,2008,2
68,2013-10,2010,1
69,2013-10,2011,3
70,2013-10,2012,1
71,2013-10,2013,6
72,2013-10,2014,1
73,2013-10,2033,1
74,2013-10,2100,1
75,2013-11,2003,1
76,2013-11,2006,1
77,2013-11,2009,1
78,2013-11,2012,1
79,2013-11,2013,3
80,2013-12,1844,1
81,2013-12,2008,1
82,2013-12,2009,1
83,2013-12,2011,2
84,2013-12,2012,2
85,2013-12,2013,1
86,2013-12,2014,1
87,2013-12,2015,1
88,2014-01,1830,1
89,2014-01,1946,1
90,2014-01,1974,1
91,2014-01,2000,1
92,2014-01,2012,2
93,2014-01,2013,2
94,2014-01,2014,4
95,2014-01,2015,1
96,2014-01,2020,1
97,2014-01,2050,2
98,2014-01,3814,1
99,2014-02,1994,1
100,2014-02,2004,1
101,2014-02,2012,2
102,2014-02,2014,3
103,2014-02,2050,1
104,2014-03,1992,1
105,2014-03,2011,1
106,2014-03,2012,1
107,2014-03,2013,1
108,2014-03,2014,8
109,2014-03,2015,1
110,2014-03,2016,1
111,2014-04,1999,1
112,2014-04,2002,1
113,2014-04,2004,1
114,2014-04,2009,1
115,2014-04,2010,2
116,2014-04,2011,1
117,2014-04,2012,3
118,2014-04,2013,2
119,2014-04,2014,8
120,2014-04,2015,2
